x analitic dft/fft
0.000000000000000e+00 -0.000000000000000e+00 -2.622901895676932e-15
2.000000000000000e-02 -3.959730634233812e-04 -3.959730634248496e-04
4.000000000000000e-02 -1.567564589577797e-03 -1.567564589577949e-03
6.000000000000000e-02 -3.489772769700133e-03 -3.489772769700701e-03
8.000000000000000e-02 -6.136886417914158e-03 -6.136886417915141e-03
1.000000000000000e-01 -9.482446409204369e-03 -9.482446409205633e-03
1.200000000000000e-01 -1.349920403144384e-02 -1.349920403144268e-02
1.400000000000000e-01 -1.815907592404387e-02 -1.815907592404503e-02
1.600000000000000e-01 -2.343309523225813e-02 -2.343309523225879e-02
1.800000000000000e-01 -2.929135855563852e-02 -2.929135855563934e-02
2.000000000000000e-01 -3.570296821027357e-02 -3.570296821027539e-02
2.200000000000000e-01 -4.263596925562254e-02 -4.263596925562245e-02
2.400000000000000e-01 -5.005728065600108e-02 -5.005728065600095e-02
2.600000000000000e-01 -5.793261985162652e-02 -5.793261985162707e-02
2.800000000000000e-01 -6.622641990156247e-02 -6.622641990156097e-02
3.000000000000000e-01 -7.490173822713379e-02 -7.490173822713324e-02
3.200000000000000e-01 -8.392015582468786e-02 -8.392015582468795e-02
3.400000000000000e-01 -9.324166562499780e-02 -9.324166562499883e-02
3.600000000000000e-01 -1.028245484455878e-01 -1.028245484455869e-01
3.800000000000000e-01 -1.126252347021708e-01 -1.126252347021706e-01
4.000000000000000e-01 -1.225981497038378e-01 -1.225981497038376e-01
4.200000000000000e-01 -1.326955399375913e-01 -1.326955399375881e-01
4.400000000000000e-01 -1.428672772303250e-01 -1.428672772303263e-01
4.600000000000000e-01 -1.530606370328762e-01 -1.530606370328741e-01
4.800000000000000e-01 -1.632200462647033e-01 -1.632200462647005e-01
5.000000000000000e-01 -1.732867951399863e-01 -1.732867951399873e-01
5.200000000000000e-01 -1.831987061000180e-01 -1.831987061000138e-01
5.400000000000000e-01 -1.928897513115507e-01 -1.928897513115490e-01
5.600000000000001e-01 -2.022896080300062e-01 -2.022896080300036e-01
5.800000000000000e-01 -2.113231382928705e-01 -2.113231382928678e-01
6.000000000000000e-01 -2.199097756497972e-01 -2.199097756497962e-01
6.200000000000000e-01 -2.279627965872578e-01 -2.279627965872591e-01
6.400000000000000e-01 -2.353884474313685e-01 -2.353884474313679e-01
6.600000000000000e-01 -2.420848880118611e-01 -2.420848880118605e-01
6.800000000000000e-01 -2.479409000217882e-01 -2.479409000217878e-01
7.000000000000000e-01 -2.528342889084466e-01 -2.528342889084463e-01
7.200000000000000e-01 -2.566298802438781e-01 -2.566298802438772e-01
7.400000000000000e-01 -2.591769698687756e-01 -2.591769698687770e-01
7.600000000000000e-01 -2.603060232687626e-01 -2.603060232687615e-01
7.800000000000000e-01 -2.598243189192695e-01 -2.598243189192708e-01
8.000000000000000e-01 -2.575100659894560e-01 -2.575100659894560e-01
8.200000000000000e-01 -2.531042479863684e-01 -2.531042479863698e-01
8.400000000000000e-01 -2.462989487277729e-01 -2.462989487277754e-01
8.600000000000000e-01 -2.367199879072891e-01 -2.367199879072877e-01
8.800000000000000e-01 -2.238998294227296e-01 -2.238998294227305e-01
9.000000000000000e-01 -2.072326583694641e-01 -2.072326583694641e-01
9.200000000000000e-01 -1.858936282210876e-01 -1.858936282210879e-01
9.399999999999999e-01 -1.586763644252661e-01 -1.586763644252688e-01
9.600000000000000e-01 -1.236048316749390e-01 -1.236048316749422e-01
9.800000000000000e-01 -7.667565090639171e-02 -7.667565090638861e-02
