x analitic dft/fft
0.000000000000000e+00 -0.000000000000000e+00 -2.775557561562891e-17
1.000000000000000e-04 -9.999499983332502e-09 -9.999485517386830e-09
2.000000000000000e-04 -3.999599973330666e-08 -3.999599851312041e-08
3.000000000000000e-04 -8.998649864979744e-08 -8.998648293179201e-08
4.000000000000000e-04 -1.599679957324798e-07 -1.599679985975211e-07
5.000000000000000e-04 -2.499374895807285e-07 -2.499374779085795e-07
5.999999999999999e-04 -3.598919783935176e-07 -3.598919799674416e-07
7.000000000000000e-04 -4.898284599693216e-07 -4.898284470811198e-07
8.000000000000000e-04 -6.397439317060136e-07 -6.397439308580832e-07
9.000000000000000e-04 -8.096353906007659e-07 -8.096353752984342e-07
1.000000000000000e-03 -9.994998332499502e-07 -9.994998311779746e-07
1.100000000000000e-03 -1.209334255849036e-06 -1.209334239332671e-06
1.200000000000000e-03 -1.439135654192490e-06 -1.439135656144952e-06
1.300000000000000e-03 -1.688901023673681e-06 -1.688901011182020e-06
1.400000000000000e-03 -1.958627359284770e-06 -1.958627360076903e-06
1.500000000000000e-03 -2.248311655616618e-06 -2.248311641972478e-06
1.600000000000000e-03 -2.557950906858681e-06 -2.557950907589035e-06
1.700000000000000e-03 -2.887542106798910e-06 -2.887542093016338e-06
1.800000000000000e-03 -3.237082248823657e-06 -3.237082248364054e-06
1.900000000000000e-03 -3.606568325917562e-06 -3.606568310943192e-06
2.000000000000000e-03 -3.995997330663463e-06 -3.995997334194090e-06
2.100000000000000e-03 -4.405366255242288e-06 -4.405366244297770e-06
2.200000000000000e-03 -4.834672091432964e-06 -4.834672093778636e-06
2.300000000000000e-03 -5.283911830612301e-06 -5.283911818504405e-06
2.400000000000000e-03 -5.753082463754908e-06 -5.753082463560988e-06
2.500000000000000e-03 -6.242180981433086e-06 -6.242180966842259e-06
2.600000000000000e-03 -6.751204373816713e-06 -6.751204372407171e-06
2.700000000000000e-03 -7.280149630673172e-06 -7.280149614846687e-06
2.800000000000000e-03 -7.829013741367220e-06 -7.829013744076185e-06
2.900000000000000e-03 -8.397793694860909e-06 -8.397793683057042e-06
3.000000000000000e-03 -8.986486479713477e-06 -8.986486481149525e-06
3.100000000000000e-03 -9.595089084081239e-06 -9.595089071084972e-06
3.200000000000000e-03 -1.022359849571751e-05 -1.022359849608967e-05
3.300000000000000e-03 -1.087201170197246e-05 -1.087201168786800e-05
3.400000000000000e-03 -1.154032568979306e-05 -1.154032568892460e-05
3.500000000000000e-03 -1.222853744572298e-05 -1.222853743032548e-05
3.600000000000000e-03 -1.293664395590242e-05 -1.293664395907168e-05
3.700000000000000e-03 -1.366464220606810e-05 -1.366464219479391e-05
3.800000000000000e-03 -1.441252918155310e-05 -1.441252918354952e-05
3.900000000000000e-03 -1.518030186728677e-05 -1.518030185479469e-05
4.000000000000000e-03 -1.596795724779465e-05 -1.596795724731481e-05
4.100000000000000e-03 -1.677549230719835e-05 -1.677549229225916e-05
4.200000000000000e-03 -1.760290402921541e-05 -1.760290402744169e-05
4.300000000000000e-03 -1.845018939715932e-05 -1.845018938101406e-05
4.400000000000000e-03 -1.931734539393927e-05 -1.931734539625807e-05
4.500000000000000e-03 -2.020436900206012e-05 -2.020436898991784e-05
4.600000000000000e-03 -2.111125720362234e-05 -2.111125720472007e-05
4.700000000000000e-03 -2.203800698032184e-05 -2.203800696698455e-05
4.800000000000000e-03 -2.298461531344986e-05 -2.298461531455298e-05
4.900000000000000e-03 -2.395107918389296e-05 -2.395107917049777e-05
5.000000000000000e-03 -2.493739557213280e-05 -2.493739557196673e-05
5.100000000000000e-03 -2.594356145824614e-05 -2.594356144358656e-05
5.200000000000000e-03 -2.696957382190467e-05 -2.696957382580800e-05
5.300000000000000e-03 -2.801542964237494e-05 -2.801542963168369e-05
5.400000000000000e-03 -2.908112589851826e-05 -2.908112590119249e-05
5.500000000000000e-03 -3.016665956879056e-05 -3.016665955701825e-05
5.600000000000000e-03 -3.127202763124235e-05 -3.127202763147929e-05
5.700000000000000e-03 -3.239722706351859e-05 -3.239722704923009e-05
5.800000000000000e-03 -3.354225484285853e-05 -3.354225484189510e-05
5.900000000000000e-03 -3.470710794609572e-05 -3.470710793065934e-05
6.000000000000000e-03 -3.589178334965782e-05 -3.589178335275389e-05
6.100000000000000e-03 -3.709627802956654e-05 -3.709627801812276e-05
6.200000000000000e-03 -3.832058896143750e-05 -3.832058896324764e-05
