x spline sin
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e-03 9.999963464454884e-04 9.999998333333417e-04
2.000000000000000e-03 1.999991904222563e-03 1.999998666666933e-03
3.000000000000000e-03 2.999985884662811e-03 2.999995500002025e-03
4.000000000000000e-03 3.999977499097819e-03 3.999989333341867e-03
5.000000000000000e-03 4.999965958859172e-03 4.999979166692708e-03
6.000000000000000e-03 5.999950475278459e-03 5.999964000064800e-03
7.000000000000001e-03 6.999930259687266e-03 6.999942833473392e-03
8.000000000000000e-03 7.999904523417178e-03 7.999914666939733e-03
8.999999999999999e-03 8.999872477799781e-03 8.999878500492074e-03
1.000000000000000e-02 9.999833334166664e-03 9.999833334166664e-03
1.000000000000000e-02 9.999833334166664e-03 9.999833334166664e-03
1.100000000000000e-02 1.099978609254283e-02 1.099977816800875e-02
1.200000000000000e-02 1.199972890772692e-02 1.199971200207359e-02
1.300000000000000e-02 1.299965972321101e-02 1.299963383642743e-02
1.400000000000000e-02 1.399957648248716e-02 1.399954267114851e-02
1.500000000000000e-02 1.499947712904745e-02 1.499943750632809e-02
1.600000000000000e-02 1.599935960638392e-02 1.599931734207142e-02
1.700000000000000e-02 1.699922185798866e-02 1.699918117849873e-02
1.800000000000000e-02 1.799906182735372e-02 1.799902801574628e-02
1.900000000000000e-02 1.899887745797117e-02 1.899885685396731e-02
2.000000000000000e-02 1.999866669333308e-02 1.999866669333308e-02
2.000000000000000e-02 1.999866669333308e-02 1.999866669333308e-02
2.100000000000000e-02 2.099854381887538e-02 2.099845653403382e-02
2.200000000000000e-02 2.199838850830933e-02 2.199822537627977e-02
2.300000000000000e-02 2.299819677729006e-02 2.299797222030218e-02
2.400000000000000e-02 2.399796464147269e-02 2.399769606635429e-02
2.500000000000000e-02 2.499768811651236e-02 2.499739591471233e-02
2.600000000000000e-02 2.599736321806418e-02 2.599707076567654e-02
2.700000000000000e-02 2.699698596178330e-02 2.699671961957215e-02
2.800000000000000e-02 2.799655236332484e-02 2.799634147675039e-02
2.900000000000000e-02 2.899605843834391e-02 2.899593533758948e-02
3.000000000000000e-02 2.999550020249566e-02 2.999550020249566e-02
3.000000000000000e-02 2.999550020249566e-02 2.999550020249566e-02
3.100000000000000e-02 3.099530647486614e-02 3.099503507190413e-02
3.200000000000000e-02 3.199503744926674e-02 3.199453894628012e-02
3.300000000000000e-02 3.299468612293978e-02 3.299401082611982e-02
3.400000000000000e-02 3.399424549312759e-02 3.399344971195145e-02
3.500000000000000e-02 3.499370855707245e-02 3.499285460433619e-02
3.600000000000000e-02 3.599306831201672e-02 3.599222450386925e-02
3.700000000000000e-02 3.699231775520271e-02 3.699155841118081e-02
3.800000000000000e-02 3.799144988387273e-02 3.799085532693703e-02
3.900000000000000e-02 3.899045769526911e-02 3.899011425184110e-02
4.000000000000000e-02 3.998933418663415e-02 3.998933418663416e-02
4.000000000000000e-02 3.998933418663416e-02 3.998933418663416e-02
4.100000000000000e-02 4.098912158191090e-02 4.098851413209637e-02
4.200000000000000e-02 4.198875965837912e-02 4.198765308904786e-02
4.300000000000000e-02 4.298823742001933e-02 4.298675005834977e-02
4.400000000000000e-02 4.398754387081203e-02 4.398580404090519e-02
4.500000000000000e-02 4.498666801473772e-02 4.498481403766023e-02
4.600000000000000e-02 4.598559885577688e-02 4.598377904960500e-02
4.700000000000000e-02 4.698432539791004e-02 4.698269807777454e-02
4.800000000000000e-02 4.798283664511765e-02 4.798157012324993e-02
4.900000000000000e-02 4.898112160138026e-02 4.898039418715918e-02
5.000000000000000e-02 4.997916927067833e-02 4.997916927067833e-02
5.000000000000000e-02 4.997916927067833e-02 4.997916927067833e-02
5.100000000000000e-02 5.097903417684917e-02 5.097789437503238e-02
5.200000000000000e-02 5.197863480537745e-02 5.197656850149630e-02
5.300000000000001e-02 5.297795516160458e-02 5.297519065139605e-02
5.400000000000001e-02 5.397697925087204e-02 5.397375982610956e-02
5.500000000000000e-02 5.497569107852126e-02 5.497227502706773e-02
5.600000000000000e-02 5.597407464989370e-02 5.597073525575547e-02
5.700000000000000e-02 5.697211397033080e-02 5.696913951371262e-02
5.800000000000000e-02 5.796979304517402e-02 5.796748680253500e-02
5.900000000000000e-02 5.896709587976480e-02 5.896577612387541e-02
6.000000000000000e-02 5.996400647944460e-02 5.996400647944460e-02
6.000000000000000e-02 5.996400647944460e-02 5.996400647944460e-02
6.100000000000000e-02 6.096409043145243e-02 6.096217687101231e-02
6.200000000000000e-02 6.196374416400368e-02 6.196028630040824e-02
6.300000000000000e-02 6.296294568721134e-02 6.295833376952302e-02
6.400000000000000e-02 6.396167301118832e-02 6.395631828030929e-02
6.500000000000000e-02 6.495990414604765e-02 6.495423883478260e-02
6.600000000000000e-02 6.595761710190225e-02 6.595209443502249e-02
6.700000000000000e-02 6.695478988886511e-02 6.694988408317346e-02
6.800000000000000e-02 6.795140051704916e-02 6.794760678144590e-02
6.899999999999999e-02 6.894742699656739e-02 6.894526153211722e-02
6.999999999999999e-02 6.994284733753275e-02 6.994284733753275e-02
7.000000000000001e-02 6.994284733753277e-02 6.994284733753277e-02
7.100000000000001e-02 7.094333680353404e-02 7.094036320010680e-02
7.200000000000001e-02 7.194316915777074e-02 7.193780812232355e-02
7.300000000000001e-02 7.294231541691808e-02 7.293518110673818e-02
7.400000000000001e-02 7.394074659765140e-02 7.393248115597775e-02
7.500000000000001e-02 7.493843371664596e-02 7.492970727274235e-02
7.600000000000001e-02 7.593534779057710e-02 7.592685845980592e-02
7.700000000000001e-02 7.693145983612003e-02 7.692393372001735e-02
7.800000000000001e-02 7.792674086995009e-02 7.792093205630148e-02
7.900000000000000e-02 7.892116190874254e-02 7.891785247166003e-02
8.000000000000000e-02 7.991469396917270e-02 7.991469396917270e-02
8.000000000000000e-02 7.991469396917270e-02 7.991469396917270e-02
8.100000000000000e-02 8.091582038529287e-02 8.091145555199805e-02
8.200000000000000e-02 8.191599186605059e-02 8.190813622337459e-02
8.300000000000000e-02 8.291517143777040e-02 8.290473498662174e-02
8.400000000000001e-02 8.391332212677687e-02 8.390125084514082e-02
8.500000000000001e-02 8.491040695939456e-02 8.489768280241602e-02
8.600000000000001e-02 8.590638896194805e-02 8.589402986201553e-02
8.700000000000001e-02 8.690123116076186e-02 8.689029102759231e-02
8.799999999999999e-02 8.789489658216060e-02 8.788646530288530e-02
8.900000000000000e-02 8.888734825246881e-02 8.888255169172031e-02
9.000000000000000e-02 8.987854919801104e-02 8.987854919801104e-02
9.000000000000000e-02 8.987854919801104e-02 8.987854919801104e-02
9.100000000000000e-02 9.088058893078170e-02 9.087445682576008e-02
9.200000000000000e-02 9.188129500481382e-02 9.187027357905984e-02
9.300000000000000e-02 9.288062145981030e-02 9.286599846209370e-02
9.400000000000000e-02 9.387852233547396e-02 9.386163047913683e-02
9.500000000000000e-02 9.487495167150771e-02 9.485716863455730e-02
9.600000000000000e-02 9.586986350761439e-02 9.585261193281704e-02
9.700000000000000e-02 9.686321188349692e-02 9.684795937847283e-02
9.800000000000000e-02 9.785495083885813e-02 9.784320997617732e-02
9.899999999999999e-02 9.884503441340092e-02 9.883836273067997e-02
9.999999999999999e-02 9.983341664682814e-02 9.983341664682814e-02
1.000000000000000e-01 9.983341664682815e-02 9.983341664682815e-02
1.010000000000000e-01 1.008366909692647e-01 1.008283707295680e-01
1.020000000000000e-01 1.018381620480434e-01 1.018232239839455e-01
1.030000000000000e-01 1.028377739409192e-01 1.028179754151075e-01
1.040000000000000e-01 1.038354707056469e-01 1.038126240283027e-01
1.050000000000000e-01 1.048311963999813e-01 1.048071688288825e-01
1.060000000000000e-01 1.058248950816773e-01 1.058016088223022e-01
1.070000000000000e-01 1.068165108084898e-01 1.067959430141219e-01
1.080000000000000e-01 1.078059876381737e-01 1.077901704100075e-01
1.090000000000000e-01 1.087932696284837e-01 1.087842900157316e-01
1.100000000000000e-01 1.097783008371748e-01 1.097783008371748e-01
1.100000000000000e-01 1.097783008371748e-01 1.097783008371748e-01
1.110000000000000e-01 1.107831758954588e-01 1.107722018803263e-01
1.120000000000000e-01 1.117856773113502e-01 1.117659921512852e-01
1.130000000000000e-01 1.127857381663204e-01 1.127596706562612e-01
1.140000000000000e-01 1.137832915418408e-01 1.137532364015760e-01
1.150000000000000e-01 1.147782705193829e-01 1.147466883936638e-01
1.160000000000000e-01 1.157706081804181e-01 1.157400256390728e-01
1.170000000000000e-01 1.167602376064180e-01 1.167332471444658e-01
1.180000000000000e-01 1.177470918788538e-01 1.177263519166214e-01
1.190000000000000e-01 1.187311040791971e-01 1.187193389624349e-01
1.200000000000000e-01 1.197122072889194e-01 1.197122072889194e-01
1.200000000000000e-01 1.197122072889194e-01 1.197122072889194e-01
1.210000000000000e-01 1.207190940658548e-01 1.207049559032065e-01
1.220000000000000e-01 1.217229260455991e-01 1.216975838125477e-01
1.230000000000000e-01 1.227236243401108e-01 1.226900900243153e-01
1.240000000000000e-01 1.237211100613484e-01 1.236824735460031e-01
1.250000000000000e-01 1.247153043212704e-01 1.246747333852277e-01
1.260000000000000e-01 1.257061282318354e-01 1.256668685497292e-01
1.270000000000000e-01 1.266935029050018e-01 1.266588780473727e-01
1.280000000000000e-01 1.276773494527282e-01 1.276507608861487e-01
1.290000000000000e-01 1.286575889869730e-01 1.286425160741745e-01
1.300000000000000e-01 1.296341426196949e-01 1.296341426196949e-01
1.300000000000000e-01 1.296341426196949e-01 1.296341426196949e-01
1.310000000000000e-01 1.306434968932823e-01 1.306256395310834e-01
1.320000000000000e-01 1.316489945277239e-01 1.316170058168434e-01
1.330000000000000e-01 1.326505436734381e-01 1.326082404856084e-01
1.340000000000000e-01 1.336480524808437e-01 1.335993425461441e-01
1.350000000000000e-01 1.346414291003593e-01 1.345903110073483e-01
1.360000000000000e-01 1.356305816824033e-01 1.355811448782528e-01
1.370000000000000e-01 1.366154183773944e-01 1.365718431680236e-01
1.380000000000000e-01 1.375958473357513e-01 1.375624048859627e-01
1.390000000000000e-01 1.385717767078924e-01 1.385528290415083e-01
1.400000000000000e-01 1.395431146442365e-01 1.395431146442365e-01
1.400000000000000e-01 1.395431146442365e-01 1.395431146442365e-01
1.410000000000000e-01 1.405554369418054e-01 1.405332607038616e-01
1.420000000000000e-01 1.415629701521517e-01 1.415232662302378e-01
1.430000000000000e-01 1.425656084734311e-01 1.425131302333595e-01
1.440000000000000e-01 1.435632461037993e-01 1.435028517233628e-01
1.450000000000000e-01 1.445557772414122e-01 1.444924297105264e-01
1.460000000000000e-01 1.455430960844255e-01 1.454818632052723e-01
1.470000000000000e-01 1.465250968309951e-01 1.464711512181672e-01
1.480000000000000e-01 1.475016736792767e-01 1.474602927599230e-01
1.490000000000000e-01 1.484727208274262e-01 1.484492868413984e-01
1.500000000000000e-01 1.494381324735992e-01 1.494381324735992e-01
1.500000000000000e-01 1.494381324735992e-01 1.494381324735992e-01
1.510000000000000e-01 1.504539680213773e-01 1.504268286676801e-01
1.520000000000000e-01 1.514639415219093e-01 1.514153744349448e-01
1.530000000000000e-01 1.524679322317697e-01 1.524037687868477e-01
1.540000000000000e-01 1.534658194075330e-01 1.533920107349945e-01
1.550000000000000e-01 1.544574823057737e-01 1.543800992911434e-01
1.560000000000000e-01 1.554428001830664e-01 1.553680334672059e-01
1.570000000000000e-01 1.564216522959854e-01 1.563558122752478e-01
1.580000000000000e-01 1.573939179011053e-01 1.573434347274905e-01
1.590000000000000e-01 1.583594762550007e-01 1.583308998363115e-01
1.600000000000000e-01 1.593182066142460e-01 1.593182066142460e-01
1.600000000000000e-01 1.593182066142460e-01 1.593182066142460e-01
1.610000000000000e-01 1.603381452823933e-01 1.603053540739870e-01
1.620000000000000e-01 1.613509985396450e-01 1.612923412283874e-01
1.630000000000000e-01 1.623566297131807e-01 1.622791670904600e-01
1.640000000000000e-01 1.633549021301805e-01 1.632658306733790e-01
1.650000000000000e-01 1.643456791178242e-01 1.642523309904810e-01
1.660000000000000e-01 1.653288240032916e-01 1.652386670552656e-01
1.670000000000000e-01 1.663042001137626e-01 1.662248378813970e-01
1.680000000000000e-01 1.672716707764171e-01 1.672108424827043e-01
1.690000000000000e-01 1.682310993184350e-01 1.681966798731831e-01
1.700000000000000e-01 1.691823490669960e-01 1.691823490669960e-01
1.700000000000000e-01 1.691823490669960e-01 1.691823490669960e-01
1.710000000000000e-01 1.702070253100926e-01 1.701678490784740e-01
1.720000000000000e-01 1.712232324984901e-01 1.711531789221170e-01
1.730000000000000e-01 1.722308170437659e-01 1.721383376125954e-01
1.740000000000000e-01 1.732296253574981e-01 1.731233241647506e-01
1.750000000000000e-01 1.742195038512642e-01 1.741081375935960e-01
1.760000000000000e-01 1.752002989366420e-01 1.750927769143183e-01
1.770000000000000e-01 1.761718570252091e-01 1.760772411422783e-01
1.780000000000000e-01 1.771340245285434e-01 1.770615292930118e-01
1.790000000000000e-01 1.780866478582225e-01 1.780456403822308e-01
1.800000000000000e-01 1.790295734258242e-01 1.790295734258242e-01
1.800000000000000e-01 1.790295734258242e-01 1.790295734258242e-01
1.810000000000000e-01 1.800596662188080e-01 1.800133274398591e-01
1.820000000000000e-01 1.810797361727669e-01 1.809969014405816e-01
1.830000000000000e-01 1.820896117991754e-01 1.819802944444177e-01
1.840000000000000e-01 1.830891216095083e-01 1.829635054679746e-01
1.850000000000000e-01 1.840780941152402e-01 1.839465335280412e-01
1.860000000000000e-01 1.850563578278459e-01 1.849293776415896e-01
1.870000000000000e-01 1.860237412588001e-01 1.859120368257758e-01
1.880000000000000e-01 1.869800729195775e-01 1.868945100979407e-01
1.890000000000000e-01 1.879251813216527e-01 1.878767964756111e-01
1.900000000000000e-01 1.888588949765006e-01 1.888588949765006e-01
1.900000000000000e-01 1.888588949765006e-01 1.888588949765006e-01
1.910000000000000e-01 1.898951277460506e-01 1.898408046185109e-01
1.920000000000000e-01 1.909196039085263e-01 1.908225244197324e-01
1.930000000000000e-01 1.919321330926061e-01 1.918040533984453e-01
1.940000000000000e-01 1.929325249269682e-01 1.927853905731209e-01
1.950000000000000e-01 1.939205890402912e-01 1.937665349624219e-01
1.960000000000000e-01 1.948961350612533e-01 1.947474855852042e-01
1.970000000000000e-01 1.958589726185330e-01 1.957282414605170e-01
1.980000000000000e-01 1.968089113408086e-01 1.967088016076048e-01
1.990000000000000e-01 1.977457608567586e-01 1.976891650459073e-01
2.000000000000000e-01 1.986693307950612e-01 1.986693307950612e-01
2.000000000000000e-01 1.986693307950612e-01 1.986693307950612e-01
2.010000000000000e-01 1.997124713464186e-01 1.996492978749009e-01
2.020000000000000e-01 2.007419317139044e-01 2.006290653054594e-01
2.030000000000000e-01 2.017575016626161e-01 2.016086321069693e-01
2.040000000000000e-01 2.027589709576509e-01 2.025879972998638e-01
2.050000000000000e-01 2.037461293641063e-01 2.035671599047780e-01
2.060000000000000e-01 2.047187666470796e-01 2.045461189425492e-01
2.070000000000000e-01 2.056766725716682e-01 2.055248734342185e-01
2.080000000000000e-01 2.066196369029695e-01 2.065034224010315e-01
2.090000000000000e-01 2.075474494060808e-01 2.074817648644393e-01
2.100000000000000e-01 2.084598998460996e-01 2.084598998460996e-01
2.100000000000000e-01 2.084598998460996e-01 2.084598998460996e-01
2.110000000000000e-01 2.095107602853200e-01 2.094378263678773e-01
2.120000000000000e-01 2.105458173492867e-01 2.104155434518462e-01
2.130000000000000e-01 2.115648399607412e-01 2.113930501202891e-01
2.140000000000000e-01 2.125675970424251e-01 2.123703453956995e-01
2.150000000000000e-01 2.135538575170798e-01 2.133474283007823e-01
2.160000000000000e-01 2.145233903074469e-01 2.143242978584545e-01
2.170000000000000e-01 2.154759643362678e-01 2.153009530918467e-01
2.180000000000000e-01 2.164113485262842e-01 2.162773930243038e-01
2.190000000000000e-01 2.173293118002375e-01 2.172536166793858e-01
2.200000000000000e-01 2.182296230808693e-01 2.182296230808693e-01
2.200000000000000e-01 2.182296230808693e-01 2.182296230808693e-01
2.210000000000000e-01 2.192890597324968e-01 2.192054112527479e-01
2.220000000000000e-01 2.203303604172664e-01 2.201809802192335e-01
2.230000000000000e-01 2.213532722389001e-01 2.211563290047573e-01
2.240000000000000e-01 2.223575423011201e-01 2.221314566339704e-01
2.250000000000000e-01 2.233429177076484e-01 2.231063621317455e-01
2.260000000000000e-01 2.243091455622072e-01 2.240810445231770e-01
2.270000000000000e-01 2.252559729685184e-01 2.250555028335826e-01
2.280000000000000e-01 2.261831470303043e-01 2.260297360885042e-01
2.290000000000000e-01 2.270904148512870e-01 2.270037433137085e-01
2.300000000000000e-01 2.279775235351884e-01 2.279775235351884e-01
2.300000000000000e-01 2.279775235351884e-01 2.279775235351884e-01
2.310000000000000e-01 2.290464368553404e-01 2.289510757791638e-01
2.320000000000000e-01 2.300946624523854e-01 2.299243990720825e-01
2.330000000000000e-01 2.311219246365753e-01 2.308974924406212e-01
2.340000000000000e-01 2.321279477181622e-01 2.318703549116868e-01
2.350000000000000e-01 2.331124560073981e-01 2.328429855124168e-01
2.360000000000000e-01 2.340751738145352e-01 2.338153832701807e-01
2.370000000000000e-01 2.350158254498253e-01 2.347875472125808e-01
2.380000000000000e-01 2.359341352235206e-01 2.357594763674532e-01
2.390000000000000e-01 2.368298274458730e-01 2.367311697628689e-01
2.400000000000000e-01 2.377026264271346e-01 2.377026264271346e-01
2.400000000000000e-01 2.377026264271346e-01 2.377026264271346e-01
2.410000000000000e-01 2.387819609119851e-01 2.386738453887937e-01
2.420000000000000e-01 2.398378270106431e-01 2.396448256766272e-01
2.430000000000000e-01 2.408699252677548e-01 2.406155663196551e-01
2.440000000000000e-01 2.418779562279665e-01 2.415860663471367e-01
2.450000000000000e-01 2.428616204359242e-01 2.425563247885721e-01
2.460000000000000e-01 2.438206184362743e-01 2.435263406737029e-01
2.470000000000000e-01 2.447546507736630e-01 2.444961130325133e-01
2.480000000000000e-01 2.456634179927365e-01 2.454656408952310e-01
2.490000000000000e-01 2.465466206381411e-01 2.464349232923284e-01
2.500000000000000e-01 2.474039592545230e-01 2.474039592545229e-01
2.500000000000000e-01 2.474039592545229e-01 2.474039592545229e-01
2.510000000000000e-01 2.484947033441696e-01 2.483727478127788e-01
2.520000000000000e-01 2.495589597587618e-01 2.493412879983077e-01
2.530000000000000e-01 2.505964043076210e-01 2.503095788425693e-01
2.540000000000000e-01 2.516067128000695e-01 2.512776193772729e-01
2.550000000000000e-01 2.525895610454288e-01 2.522454086343781e-01
2.560000000000000e-01 2.535446248530210e-01 2.532129456460956e-01
2.570000000000000e-01 2.544715800321679e-01 2.541802294448887e-01
2.580000000000000e-01 2.553701023921913e-01 2.551472590634734e-01
2.590000000000000e-01 2.562398677424131e-01 2.561140335348204e-01
2.600000000000000e-01 2.570805518921551e-01 2.570805518921551e-01
2.600000000000000e-01 2.570805518921551e-01 2.570805518921551e-01
2.610000000000000e-01 2.581837378698529e-01 2.580468131689594e-01
2.620000000000000e-01 2.592571685631916e-01 2.590128163989720e-01
2.630000000000000e-01 2.603004940789700e-01 2.599785606161898e-01
2.640000000000000e-01 2.613133645239870e-01 2.609440448548687e-01
2.650000000000000e-01 2.622954300050412e-01 2.619092681495244e-01
2.660000000000000e-01 2.632463406289318e-01 2.628742295349339e-01
2.670000000000000e-01 2.641657465024572e-01 2.638389280461357e-01
2.680000000000000e-01 2.650532977324163e-01 2.648033627184314e-01
2.690000000000000e-01 2.659086444256080e-01 2.657675325873865e-01
2.700000000000000e-01 2.667314366888311e-01 2.667314366888311e-01
2.700000000000000e-01 2.667314366888311e-01 2.667314366888311e-01
2.710000000000000e-01 2.678481405755727e-01 2.676950740588613e-01
2.720000000000000e-01 2.689315635788446e-01 2.686584437338398e-01
2.730000000000000e-01 2.699813291383467e-01 2.696215447503968e-01
2.740000000000000e-01 2.709970606937790e-01 2.705843761454317e-01
2.750000000000000e-01 2.719783816848419e-01 2.715469369561129e-01
2.760000000000000e-01 2.729249155512352e-01 2.725092262198798e-01
2.770000000000000e-01 2.738362857326589e-01 2.734712429744431e-01
2.780000000000000e-01 2.747121156688133e-01 2.744329862577863e-01
2.790000000000000e-01 2.755520287993982e-01 2.753944551081661e-01
2.800000000000000e-01 2.763556485641138e-01 2.763556485641138e-01
2.800000000000000e-01 2.763556485641138e-01 2.763556485641138e-01
2.810000000000000e-01 2.774869900085353e-01 2.773165656644359e-01
2.820000000000000e-01 2.785812573375397e-01 2.782772054482154e-01
2.830000000000000e-01 2.796380463618795e-01 2.792375669548127e-01
2.840000000000000e-01 2.806569528923067e-01 2.801976492238663e-01
2.850000000000000e-01 2.816375727395737e-01 2.811574512952941e-01
2.860000000000000e-01 2.825795017144329e-01 2.821169722092939e-01
2.870000000000000e-01 2.834823356276364e-01 2.830762110063451e-01
2.880000000000000e-01 2.843456702899365e-01 2.840351667272089e-01
2.890000000000000e-01 2.851691015120854e-01 2.849938384129295e-01
2.900000000000000e-01 2.859522251048355e-01 2.859522251048356e-01
2.900000000000000e-01 2.859522251048355e-01 2.859522251048355e-01
2.910000000000000e-01 2.870993672684208e-01 2.869103258445403e-01
2.920000000000000e-01 2.882053648361458e-01 2.878681396739431e-01
2.930000000000000e-01 2.892697850307970e-01 2.888256656352302e-01
2.940000000000000e-01 2.902921950751606e-01 2.897829027708758e-01
2.950000000000000e-01 2.912721621920230e-01 2.907398501236427e-01
2.960000000000000e-01 2.922092536041706e-01 2.916965067365838e-01
2.970000000000000e-01 2.931030365343897e-01 2.926528716530424e-01
2.980000000000000e-01 2.939530782054667e-01 2.936089439166538e-01
2.990000000000000e-01 2.947589458401879e-01 2.945647225713457e-01
3.000000000000000e-01 2.955202066613395e-01 2.955202066613395e-01
3.000000000000000e-01 2.955202066613395e-01 2.955202066613395e-01
3.010000000000000e-01 2.966843560988952e-01 2.964753952311514e-01
3.020000000000000e-01 2.978030036244059e-01 2.974302873255927e-01
3.030000000000000e-01 2.988756869166097e-01 2.983848819897715e-01
3.040000000000000e-01 2.999019436542446e-01 2.993391782690932e-01
3.050000000000000e-01 3.008813115160489e-01 3.002931752092615e-01
3.060000000000000e-01 3.018133281807606e-01 3.012468718562797e-01
3.070000000000000e-01 3.026975313271178e-01 3.022002672564510e-01
3.080000000000000e-01 3.035334586338586e-01 3.031533604563804e-01
3.090000000000000e-01 3.043206477797211e-01 3.041061505029745e-01
3.100000000000000e-01 3.050586364434435e-01 3.050586364434435e-01
3.100000000000000e-01 3.050586364434435e-01 3.050586364434435e-01
3.110000000000000e-01 3.062410429788116e-01 3.060108173253014e-01
3.120000000000000e-01 3.073732938924267e-01 3.069626921963676e-01
3.130000000000000e-01 3.084548963659377e-01 3.079142601047671e-01
3.140000000000000e-01 3.094853575809937e-01 3.088655200989321e-01
3.150000000000000e-01 3.104641847192436e-01 3.098164712276029e-01
3.160000000000000e-01 3.113908849623364e-01 3.107671125398281e-01
3.170000000000000e-01 3.122649654919213e-01 3.117174430849668e-01
3.180000000000000e-01 3.130859334896471e-01 3.126674619126883e-01
3.190000000000000e-01 3.138532961371630e-01 3.136171680729740e-01
3.200000000000000e-01 3.145665606161178e-01 3.145665606161178e-01
3.200000000000000e-01 3.145665606161178e-01 3.145665606161178e-01
3.210000000000000e-01 3.157685172130904e-01 3.155156385927271e-01
3.220000000000000e-01 3.169153585578180e-01 3.164644010537241e-01
3.230000000000000e-01 3.180065603849678e-01 3.174128470503465e-01
3.240000000000000e-01 3.190415984292068e-01 3.183609756341483e-01
3.250000000000000e-01 3.200199484252020e-01 3.193087858570010e-01
3.260000000000000e-01 3.209410861076205e-01 3.202562767710944e-01
3.270000000000000e-01 3.218044872111294e-01 3.212034474289377e-01
3.280000000000000e-01 3.226096274703956e-01 3.221502968833604e-01
3.290000000000000e-01 3.233559826200862e-01 3.230968241875130e-01
3.300000000000000e-01 3.240430283948684e-01 3.240430283948684e-01
3.300000000000000e-01 3.240430283948684e-01 3.240430283948684e-01
3.310000000000000e-01 3.252658710232629e-01 3.249889085592224e-01
3.320000000000000e-01 3.264283233524636e-01 3.259344637346948e-01
3.330000000000000e-01 3.275298287235182e-01 3.268796929757308e-01
3.340000000000000e-01 3.285698304774743e-01 3.278245953371010e-01
3.350000000000000e-01 3.295477719553798e-01 3.287691698739031e-01
3.360000000000000e-01 3.304630964982822e-01 3.297134156415628e-01
3.370000000000000e-01 3.313152474472292e-01 3.306573316958343e-01
3.380000000000000e-01 3.321036681432684e-01 3.316009170928018e-01
3.390000000000000e-01 3.328278019274476e-01 3.325441708888797e-01
3.400000000000000e-01 3.334870921408144e-01 3.334870921408144e-01
3.400000000000000e-01 3.334870921408144e-01 3.334870921408144e-01
3.410000000000000e-01 3.347321996376653e-01 3.344296799056848e-01
3.420000000000000e-01 3.359113169089063e-01 3.353719332409032e-01
3.430000000000000e-01 3.370238539586922e-01 3.363138512042163e-01
3.440000000000000e-01 3.380692207911777e-01 3.372554328537061e-01
3.450000000000000e-01 3.390468274105176e-01 3.381966772477913e-01
3.460000000000000e-01 3.399560838208668e-01 3.391375834452274e-01
3.470000000000000e-01 3.407964000263800e-01 3.400781505051083e-01
3.480000000000000e-01 3.415671860312119e-01 3.410183774868670e-01
3.490000000000000e-01 3.422678518395175e-01 3.419582634502767e-01
3.500000000000000e-01 3.428978074554515e-01 3.428978074554514e-01
3.500000000000000e-01 3.428978074554514e-01 3.428978074554514e-01
3.510000000000000e-01 3.441666013812686e-01 3.438370085628472e-01
3.520000000000000e-01 3.453634708463310e-01 3.447758658332631e-01
3.530000000000000e-01 3.464877915781004e-01 3.457143783278420e-01
3.540000000000000e-01 3.475389393040389e-01 3.466525451080713e-01
3.550000000000000e-01 3.485162897516084e-01 3.475903652357843e-01
3.560000000000000e-01 3.494192186482709e-01 3.485278377731612e-01
3.570000000000000e-01 3.502471017214883e-01 3.494649617827292e-01
3.580000000000000e-01 3.509993146987226e-01 3.504017363273646e-01
3.590000000000000e-01 3.516752333074359e-01 3.513381604702929e-01
3.600000000000000e-01 3.522742332750899e-01 3.522742332750900e-01
3.600000000000000e-01 3.522742332750899e-01 3.522742332750899e-01
3.610000000000000e-01 3.535681777651288e-01 3.532099538056832e-01
3.620000000000000e-01 3.547839198561241e-01 3.541453211263519e-01
3.630000000000000e-01 3.559208000626295e-01 3.550803343017291e-01
3.640000000000000e-01 3.569781588991989e-01 3.560149923968016e-01
3.650000000000000e-01 3.579553368803857e-01 3.569492944769114e-01
3.660000000000000e-01 3.588516745207438e-01 3.578832396077564e-01
3.670000000000000e-01 3.596665123348268e-01 3.588168268553916e-01
3.680000000000000e-01 3.603991908371884e-01 3.597500552862299e-01
3.690000000000000e-01 3.610490505423822e-01 3.606829239670429e-01
3.700000000000000e-01 3.616154319649620e-01 3.616154319649620e-01
3.700000000000000e-01 3.616154319649620e-01 3.616154319649620e-01
3.710000000000000e-01 3.629360335754449e-01 3.625475783474792e-01
3.720000000000000e-01 3.641718017869942e-01 3.634793621824483e-01
3.730000000000000e-01 3.653220409687364e-01 3.644107825380855e-01
3.740000000000000e-01 3.663860554897985e-01 3.653418384829706e-01
3.750000000000000e-01 3.673631497193072e-01 3.662725290860476e-01
3.760000000000000e-01 3.682526280263890e-01 3.672028534166260e-01
3.770000000000000e-01 3.690537947801707e-01 3.681328105443816e-01
3.780000000000000e-01 3.697659543497791e-01 3.690623995393574e-01
3.790000000000000e-01 3.703884111043408e-01 3.699916194719644e-01
3.800000000000000e-01 3.709204694129827e-01 3.709204694129827e-01
3.800000000000000e-01 3.709204694129827e-01 3.709204694129827e-01
